Name,Headline,About,Location,Experience_Snippet,Education_Snippet,Profile URL,Scraped At
Sundar Pichai,CEO at Google,Not found,Google,Not found,Not found,https://www.linkedin.com/in/sundarpichai/,2025-11-10 14:48:25
Satya Nadella,Chairman and CEO at Microsoft,Not found,"3rd degree connection
3rd",Not found,Not found,https://www.linkedin.com/in/satyanadella/,2025-11-10 14:48:40
,Not found,Not found,Not found,Not found,Not found,https://www.linkedin.com/in/gailbe/,2025-11-10 14:48:50
,Not found,Not found,Not found,Not found,Not found,https://www.linkedin.com/in/markzuckerberg/,2025-11-10 14:49:03
Bill Gates,"Chair, Gates Foundation and Founder, Breakthrough Energy",Not found,"3rd degree connection
3rd",Not found,Not found,https://www.linkedin.com/in/williamhgates/,2025-11-10 14:49:15
,Not found,Not found,Not found,Not found,Not found,https://www.linkedin.com/in/jeffbezos/,2025-11-10 14:49:24
Richard Branson,"Technical Director / CTO | IoT & AI Innovator | Building Connected Systems for Sport, Fitness & Experiential Technology",Not found,"3rd degree connection
3rd",Not found,Not found,https://www.linkedin.com/in/richardbranson/,2025-11-10 14:49:34
Tim Cook,"Big Data Software and Platform Engineer @ dunnhumby | Spark, GCP, Python Performance",Not found,"3rd degree connection
3rd",Not found,Not found,https://www.linkedin.com/in/tim-cook/,2025-11-10 14:49:59
,Not found,Not found,Not found,Not found,Not found,https://www.linkedin.com/in/sherylsandberg/,2025-11-10 14:50:07
Reid Hoffman,"Co-Founder, LinkedIn, Manas AI & Inflection AI. Founding Team, PayPal. Author of Superagency. Podcaster of Possible and Masters of Scale.",Not found,He/Him,Not found,Not found,https://www.linkedin.com/in/reidhoffman/,2025-11-10 14:50:17
,Not found,Not found,Not found,Not found,Not found,https://www.linkedin.com/in/marinashoychet/,2025-11-10 14:50:29
Kenneth I. Chenault,"Chairman and Managing Director, General Catalyst",Not found,"3rd degree connection
3rd",Not found,Not found,https://www.linkedin.com/in/ken-chenault/,2025-11-10 14:50:40
Michael Rosenberg,"Financial Operations, Senior Business Development, Financial Analysis and Corporate Operations",Not found,"3rd degree connection
3rd",Not found,Not found,https://www.linkedin.com/in/rosenberg/,2025-11-10 14:50:50
Andrew Ng,Founder at Priime,Not found,He/Him,Not found,Not found,https://www.linkedin.com/in/andrewng/,2025-11-10 14:50:59
,Not found,Not found,Not found,Not found,Not found,https://www.linkedin.com/in/reshmasaujani/,2025-11-10 14:51:06
,Not found,Not found,Not found,Not found,Not found,https://www.linkedin.com/in/arainy/,2025-11-10 14:51:14
Adi (tomi) P.,Manipulating Complexity,Not found,He/Him,Not found,Not found,https://www.linkedin.com/in/annasui/,2025-11-10 14:51:25
,Not found,Not found,Not found,Not found,Not found,https://www.linkedin.com/in/kenichiro-yoshida/,2025-11-10 14:51:35
,Not found,Not found,Not found,Not found,Not found,https://www.linkedin.com/in/masayoshison/,2025-11-10 14:51:43
,Not found,Not found,Not found,Not found,Not found,https://www.linkedin.com/in/hiroshi-mikitani/,2025-11-10 14:51:52
Narendra Modi,Prime Minister of India,Not found,Government of India,Not found,Not found,https://www.linkedin.com/in/narendramodi/,2025-11-10 14:52:02
